,SUBCAT,DESCRICAO
4832,M615,Outra ossificação de músculo
4833,M619,Calcificação e ossificação de músculo não especificada
4834,M620,Diástase de músculo
4835,M621,Outras rupturas musculares (não-traumáticas)
4836,M622,Infarto isquêmico do músculo
4837,M623,Síndrome de imobilidade (paraplégica)
4838,M624,Contratura de músculo
4839,M625,Perda e atrofia muscular não classificadas em outra parte
4840,M626,Distensão muscular
4841,M628,Outros transtornos musculares especificados
4842,M629,Transtorno muscular não especificado
4843,M630,Miosite em doenças bacterianas classificadas em outra parte
4844,M631,Miosite em doenças infecciosas causadas por protozoários e parasitas classificadas em outra parte
4845,M632,Miosite em outras doenças infecciosas classificadas em outra parte
4846,M633,Miosite na sarcoidose
4847,M638,Outros transtornos musculares em doenças classificadas em outra parte
4848,M650,Abscesso da bainha tendínea
4849,M651,Outras (teno)sinovites infecciosas
4850,M652,Tendinite calcificada
4851,M653,Dedo em gatilho
4852,M654,Tenossinovite estilóide radial [de Quervain]
4853,M658,Outras sinovites e tenossinovites
4854,M659,Sinovite e tenossinovite não especificadas
4855,M660,Ruptura de cisto poplíteo
4856,M661,Ruptura de sinóvia
4857,M662,Ruptura espontânea de tendões extensores
4858,M663,Ruptura espontânea de tendões flexores
4859,M664,Ruptura espontânea de outros tendões
4860,M665,Ruptura espontânea de tendões não especificados
4861,M670,Tendão de Aquiles curto (adquirido)
4862,M671,Outra contratura de tendão (bainha)
4863,M672,Hipertrofia sinovial não classificada em outra parte
4864,M673,Sinovite transitória
4865,M674,Gânglios
4866,M678,Outros transtornos especificados da sinóvia e do tendão
4867,M679,Transtorno não especificado da sinóvia e do tendão
4868,M680,Sinovite e tenossinovite em doenças bacterianas classificadas em outra parte
4869,M688,Outros transtornos de sinóvias e de tendões em doenças classificadas em outra parte
4870,M700,Sinovite crepitante crônica da mão e do punho
4871,M701,Bursite da mão
4872,M702,Bursite do olécrano
4873,M703,Outras bursites do cotovelo
4874,M704,Bursite pré-patelar
4875,M705,Outras bursites do joelho
4876,M706,Bursite trocantérica
4877,M707,Outras bursites do quadril
4878,M708,"Outros transtornos dos tecidos moles relacionados com o uso, uso excessivo e pressão"
4879,M709,"Transtorno não especificado dos tecidos moles relacionados com o uso, uso excessivo e pressão"
4880,M710,Abscesso de bolsa sinovial
4881,M711,Outras bursites infecciosas
4882,M712,Cisto sinovial do espaço poplíteo [Baker]
4883,M713,Outros cistos de bolsa sinovial
4884,M714,Depósito de cálcio em bolsa sinovial
4885,M715,Outras bursites não classificadas em outra parte
4886,M718,Outras bursopatias especificadas
4887,M719,Bursopatia não especificada
4888,M720,Fibromatose de fáscia palmar [Dupuytren]
4889,M721,Coxins interfalângicos (nó dos dedos)
4890,M722,Fibromatose da fáscia plantar
4891,M724,Fibromatose pseudossarcomatosa
4892,M726,Fasciíte necrosante
4893,M728,Outros transtornos fibroblásticos
4894,M729,Transtorno fibroblástico não especificado
4895,M730,Bursite gonocócica
4896,M731,Bursite sifilítica
4897,M738,Outros transtornos dos tecidos moles em outras doenças classificadas em outra parte
4898,M750,Capsulite adesiva do ombro
4899,M751,Síndrome do manguito rotador
4900,M752,Tendinite bicepital
4901,M753,Tendinite calcificante do ombro
4902,M754,Síndrome de colisão do ombro
4903,M755,Bursite do ombro
4904,M758,Outras lesões do ombro
4905,M759,Lesão não especificada do ombro
4906,M760,Tendinite glútea
4907,M761,Tendinite do psoas
4908,M762,Esporão da crista ilíaca
4909,M763,Síndrome da faixa iliotibial
4910,M764,Bursite tibial colateral [Pellegrini-Stieda]
4911,M765,Tendinite patelar
4912,M766,Tendinite aquileana
4913,M767,Tendinite do perôneo
4914,M768,"Outras entesopatias do membro inferior, excluindo o pé"
4915,M769,Entesopatia do membro inferior não especificada
4916,M770,Epicondilite medial
4917,M771,Epicondilite lateral
4918,M772,Periartrite do punho
4919,M773,Esporão do calcâneo
4920,M774,Metatarsalgia
4921,M775,Outra entesopatia do pé
4922,M778,Outras entesopatias não classificadas em outra parte
4923,M779,Entesopatia não especificada
4924,M790,Reumatismo não especificado
4925,M791,Mialgia
4926,M792,Nevralgia e neurite não especificadas
4927,M793,Paniculite não especificada
4928,M794,Hipertrofia do coxim gorduroso (infrapatelar)
4929,M795,Corpo estranho residual no tecido mole
4930,M796,Dor em membro
4931,M797,Fibromialgia
4932,M798,Outros transtornos especificados dos tecidos moles
4933,M799,Transtorno dos tecidos moles não especificado
4934,M800,Osteoporose pós-menopáusica com fratura patológica
4935,M801,Osteoporose pós-ooforectomia com fratura patológica
4936,M802,Osteoporose de desuso com fratura patológica
4937,M803,Osteoporose por má-absorção pós-cirúrgica com fratura patológica
4938,M804,Osteoporose induzida por drogas com fratura patológica
4939,M805,Osteoporose idiopática com fratura patológica
4940,M808,Outras osteoporoses com fratura patológica
4941,M809,Osteoporose não especificada com fratura patológica
4942,M810,Osteoporose pós-menopáusica
4943,M811,Osteoporose pós-ooforectomia
4944,M812,Osteoporose de desuso
4945,M813,Osteoporose devida à má-absorção pós-cirúrgica
4946,M814,Osteoporose induzida por drogas
4947,M815,Osteoporose idiopática
4948,M816,Osteoporose localizada [Lequesne]
4949,M818,Outras osteoporoses
4950,M819,Osteoporose não especificada
4951,M820,Osteoporose na mielomatose múltipla
4952,M821,Osteoporose em distúrbios endócrinos
4953,M828,Osteoporose em outras doenças classificadas em outra parte
4954,M830,Osteomalácia puerperal
4955,M831,Osteomalácia senil
4956,M832,Osteomalácia do adulto devida a má-absorção
4957,M833,Osteomalácia do adulto devido à desnutrição
4958,M834,Doença óssea pelo alumínio
4959,M835,Outras osteomalácias do adulto induzidas por drogas
4960,M838,Outra osteomalácia do adulto
4961,M839,Osteomalácia não especificada do adulto
4962,M840,Defeito de consolidação da fratura
4963,M841,Ausência de consolidação da fratura [pseudo-artrose]
4964,M842,Atraso de consolidação de fratura
4965,M843,"Fratura de fadiga (""stress"") não classificada em outra parte"
4966,M844,Fratura patológica não classificada em outra parte
4967,M848,Outros transtornos da continuidade do osso
4968,M849,Transtorno não especificado da continuidade do osso
4969,M850,Displasia fibrosa (monostótica)
4970,M851,Fluorose esquelética
4971,M852,Hiperostose do crânio
4972,M853,Osteíte condensante
4973,M854,Cisto ósseo solitário
4974,M855,Cisto ósseo aneurismático
4975,M856,Outro cisto ósseo
4976,M858,Outros transtornos especificados da densidade e da estrutura ósseas
4977,M859,Transtorno não especificado da densidade e da estrutura ósseas
4978,M860,Osteomielite aguda hematogênica
4979,M861,Outra osteomielite aguda
4980,M862,Osteomielite subaguda
4981,M863,Osteomielite crônica multifocal
4982,M864,Osteomielite crônica com seio drenante
4983,M865,Outra osteomielite crônica hematogênica
4984,M866,Outra osteomielite crônica
4985,M868,Outra osteomielite
4986,M869,Osteomielite não especificada
4987,M870,Necrose asséptica idiopática do osso
4988,M871,Osteonecrose devida a drogas
4989,M872,Osteonecrose devida a traumatismo anterior
4990,M873,Outras osteonecroses secundárias
4991,M878,Outras osteonecroses
4992,M879,Osteonecrose não especificada
4993,M880,Doença de Paget do crânio
4994,M888,Doença de Paget de outros ossos
4995,M889,Doença de Paget de osso não especificado
4996,M890,Algoneurodistrofia
4997,M891,Parada de crescimento epifisário
4998,M892,Outros transtornos do desenvolvimento e do crescimento ósseo
4999,M893,Hipertrofia óssea
5000,M894,Outras osteoartropatias hipertróficas
5001,M895,Osteolise
5002,M896,Osteopatia pós-poliomielite
5003,M898,Outros transtornos especificados do osso
5004,M899,Transtorno não especificado do osso
5005,M900,Tuberculose óssea
5006,M901,Periostite em outras doenças infecciosas classificadas em outra parte
5007,M902,Osteopatia em outras doenças infecciosas classificadas em outra parte
5008,M903,"Osteonecrose em ""mal dos caixões"""
5009,M904,Osteonecrose devida à hemoglobinopatia
5010,M905,Osteonecrose em outras doenças classificadas em outra parte
5011,M906,Osteíte deformante em doenças neoplásicas
5012,M907,Fratura óssea em doenças neoplásicas
5013,M908,Osteopatia em outras doenças classificadas em outra parte
5014,M910,Osteocondrose juvenil da pelve
5015,M911,Osteocondrose juvenil da cabeça do fêmur [Legg-Calvé-Perthes]
5016,M912,Coxa plana
5017,M913,Pseudocoxalgia
5018,M918,Outras osteocondroses juvenis do quadril e da pelve
5019,M919,Osteocondrose juvenil não especificada do quadril e da pelve
5020,M920,Osteocondrose juvenil do úmero
5021,M921,Osteocondrose juvenil do rádio e do cúbito [ulna]
5022,M922,Osteocondrose juvenil da mão
5023,M923,Outras osteocondroses juvenis do membro superior
5024,M924,Osteocondrose juvenil da rótula [patela]
5025,M925,Osteocondrose juvenil da tíbia e perônio [fíbula]
5026,M926,Osteocondrose juvenil do tarso
5027,M927,Osteocondrose juvenil do metatarso
5028,M928,Outras osteocondroses juvenis especificadas
5029,M929,"Osteocondrose juvenil, não especificada"
5030,M930,Luxação (não-traumática) da epífise superior do fêmur
5031,M931,Doença de Kienböck do adulto
5032,M932,Osteocondrite dissecante
5033,M938,"Outras osteocondropatias, especificadas"
5034,M939,"Osteocondropatias, não especificada"
5035,M940,Síndrome da junção condrocostal [Tietze]
5036,M941,Policondrite recidivante
5037,M942,Condromalácia
5038,M943,Condrolise
5039,M948,Outros transtornos especificados da cartilagem
5040,M949,Transtornos não especificados da cartilagem
5041,M950,Deformidade adquirida do nariz
5042,M951,Orelha em couve-flor
5043,M952,Outras deformidades adquiridas da cabeça
5044,M953,Deformidade adquirida do pescoço
5045,M954,Deformidade adquirida do tórax e das costelas
5046,M955,Deformidade adquirida da pelve
5047,M958,Outras deformidades adquiridas especificadas do sistema osteomuscular
5048,M959,Deformidade adquirida do sistema osteomuscular não especificada
5049,M960,Pseudo-artrose após fusão ou artrodese
5050,M961,Síndrome pós-laminectomia não classificada em outra parte
5051,M962,Cifose pós-radiação
5052,M963,Cifose pós-laminectomia
5053,M964,Lordose pós-cirúrgica
5054,M965,Escoliose pós-radiação
5055,M966,"Fratura de osso subsequente a implante ortopédico, prótese articular ou placa óssea"
5056,M968,Outros transtornos osteomusculares pós-procedimentos
5057,M969,Transtorno osteomuscular não especificado pós-procedimento
5058,M990,Disfunção segmentar e somática
5059,M991,Complexo de subluxação (vertebral)
5060,M992,Estenose de subluxação do canal medular
5061,M993,Estenose óssea do canal medular
5062,M994,Estenose de tecido conjuntivo do canal medular
5063,M995,Estenose de disco intervertebral do canal medular
5064,M996,Estenose óssea e subluxação dos forames intervertebrais
5065,M997,Estenose de tecido conjuntivo e do disco dos forames intervertebrais
5066,M998,Outras lesões biomecânicas
5067,M999,Lesão biomecânica não especificada
5068,N000,Síndrome nefrítica aguda - anormalidade glomerular minor
5069,N001,Síndrome nefrítica aguda - lesões glomerulares focais e segmentares
5070,N002,Síndrome nefrítica aguda - glomerulonefrite membranosa difusa
5071,N003,Síndrome nefrítica aguda - glomerulonefrite proliferativa mesangial difusa
5072,N004,Síndrome nefrítica aguda - glomerulonefrite proliferativa endocapilar difusa
5073,N005,Síndrome nefrítica aguda - glomerulonefrite mesangiocapilar difusa
5074,N006,Síndrome nefrítica aguda - doença de depósito denso
5075,N007,Síndrome nefrítica aguda - glomerulonefrite difusa em crescente
5076,N008,Síndrome nefrítica aguda - outras
5077,N009,Síndrome nefrítica aguda - não especificada
5078,N010,Síndrome nefrítica rapidamente progressiva - anormalidade glomerular minor
5079,N011,Síndrome nefrítica rapidamente progressiva - lesões glomerulares focais e segmentares
5080,N012,Síndrome nefrítica rapidamente progressiva - glomerulonefrite membranosa difusa
5081,N013,Síndrome nefrítica rapidamente progressiva - glomerulonefrite proliferativa mesangial difusa
5082,N014,Síndrome nefrítica rapidamente progressiva - glomerulonefrite proliferativa endocapilar difusa
5083,N015,Síndrome nefrítica rapidamente progressiva - glomerulonefrite mesangiocapilar difusa
5084,N016,Síndrome nefrítica rapidamente progressiva - doença de depósito denso
5085,N017,Síndrome nefrítica rapidamente progressiva - glomerulonefrite difusa em crescente
5086,N018,Síndrome nefrítica rapidamente progressiva - outras
5087,N019,Síndrome nefrítica rapidamente progressiva - não especificada
5088,N020,Hematúria recidivante e persistente - anormalidade glomerular minor
5089,N021,Hematúria recidivante e persistente - lesões glomerulares focais e segmentares
5090,N022,Hematúria recidivante e persistente - glomerulonefrite membranosa difusa
5091,N023,Hematúria recidivante e persistente - glomerulonefrite proliferativa mesangial difusa
5092,N024,Hematúria recidivante e persistente - glomerulonefrite proliferativa endocapilar difusa
5093,N025,Hematúria recidivante e persistente - glomerulonefrite mesangiocapilar difusa
5094,N026,Hematúria recidivante e persistente - doença de depósito denso
5095,N027,Hematúria recidivante e persistente - glomerulonefrite difusa em crescente
5096,N028,Hematúria recidivante e persistente - outras
5097,N029,Hematúria recidivante e persistente - não especificada
5098,N030,Síndrome nefrítica crônica - anormalidade glomerular minor
5099,N031,Síndrome nefrítica crônica - lesões glomerulares focais e segmentares
5100,N032,Síndrome nefrítica crônica - glomerulonefrite membranosa difusa
5101,N033,Síndrome nefrítica crônica - glomerulonefrite proliferativa mesangial difusa
5102,N034,Síndrome nefrítica crônica - glomerulonefrite proliferativa endocapilar difusa
5103,N035,Síndrome nefrítica crônica - glomerulonefrite mesangiocapilar difusa
5104,N036,Síndrome nefrítica crônica - doença de depósito denso
5105,N037,Síndrome nefrítica crônica - glomerulonefrite difusa em crescente
5106,N038,Síndrome nefrítica crônica - outras
5107,N039,Síndrome nefrítica crônica - não especificada
5108,N040,Síndrome nefrótica - anormalidade glomerular minor
5109,N041,Síndrome nefrótica - lesões glomerulares focais e segmentares
5110,N042,Síndrome nefrótica - glomerulonefrite membranosa difusa
5111,N043,Síndrome nefrótica - glomerulonefrite proliferativa mesangial difusa
5112,N044,Síndrome nefrótica - glomerulonefrite proliferativa endocapilar difusa
5113,N045,Síndrome nefrótica - glomerulonefrite mesangiocapilar difusa
5114,N046,Síndrome nefrótica - doença de depósito denso
5115,N047,Síndrome nefrótica - glomerulonefrite difusa em crescente
5116,N048,Síndrome nefrótica - outras
5117,N049,Síndrome nefrótica - não especificada
5118,N050,Síndrome nefrítica não especificada - anormalidade glomerular minor
5119,N051,Síndrome nefrítica não especificada - lesões glomerulares focais e segmentares
5120,N052,Síndrome nefrítica não especificada - glomerulonefrite membranosa difusa
5121,N053,Síndrome nefrítica não especificada - glomerulonefrite proliferativa mesangial difusa
5122,N054,Síndrome nefrítica não especificada - glomerulonefrite proliferativa endocapilar difusa
5123,N055,Síndrome nefrítica não especificada - glomerulonefrite mesangiocapilar difusa
5124,N056,Síndrome nefrítica não especificada - doença de depósito denso
5125,N057,Síndrome nefrítica não especificada - glomerulonefrite difusa em crescente
5126,N058,Síndrome nefrítica não especificada - outras
5127,N059,Síndrome nefrítica não especificada - não especificada
5128,N060,Proteinúria isolada com lesão morfológica especificada - anormalidade glomerular minor
5129,N061,Proteinúria isolada com lesão morfológica especificada - lesões glomerulares focais e segmentares
5130,N062,Proteinúria isolada com lesão morfológica especificada - glomerulonefrite membranosa difusa
5131,N063,Proteinúria isolada com lesão morfológica especificada - glomerulonefrite proliferativa mesangial difusa
5132,N064,Proteinúria isolada com lesão morfológica especificada - glomerulonefrite proliferativa endocapilar difusa
5133,N065,Proteinúria isolada com lesão morfológica especificada - glomerulonefrite mesangiocapilar difusa
5134,N066,Proteinúria isolada com lesão morfológica especificada - doença de depósito denso
5135,N067,Proteinúria isolada com lesão morfológica especificada - glomerulonefrite difusa em crescente
5136,N068,Proteinúria isolada com lesão morfológica especificada - outras
5137,N069,Proteinúria isolada com lesão morfológica especificada - não especificada
5138,N070,Nefropatia hereditária não classificada em outra parte - anormalidade glomerular minor
5139,N071,Nefropatia hereditária não classificada em outra parte - lesões glomerulares focais e segmentares
5140,N072,Nefropatia hereditária não classificada em outra parte - glomerulonefrite membranosa difusa
5141,N073,Nefropatia hereditária não classificada em outra parte - glomerulonefrite proliferativa mesangial difusa
5142,N074,Nefropatia hereditária não classificada em outra parte - glomerulonefrite proliferativa endocapilar difusa
5143,N075,Nefropatia hereditária não classificada em outra parte - glomerulonefrite mesangiocapilar difusa
5144,N076,Nefropatia hereditária não classificada em outra parte - doença de depósito denso
5145,N077,Nefropatia hereditária não classificada em outra parte - glomerulonefrite difusa em crescente
5146,N078,Nefropatia hereditária não classificada em outra parte - outras
5147,N079,Nefropatia hereditária não classificada em outra parte - não especificada
5148,N080,Transtornos glomerulares em doenças infecciosas e parasitárias classificadas em outra parte
5149,N081,Transtornos glomerulares em doenças neoplásicas
5150,N082,Transtornos glomerulares em doenças do sangue e transtornos imunitários
5151,N083,Transtornos glomerulares no diabetes mellitus
5152,N084,"Transtornos glomerulares em doenças endócrinas, nutricionais e metabólicas"
5153,N085,Transtornos glomerulares em doenças sistêmicas do tecido conjuntivo
5154,N088,Transtornos glomerulares em outras doenças classificadas em outra parte
5155,N10,Nefrite túbulo-intersticial aguda
5156,N110,Pielonefrite não-obstrutiva crônica associada a refluxo
5157,N111,Pielonefrite obstrutiva crônica
5158,N118,Outras nefrites túbulo-intersticiais crônicas
5159,N119,Nefrite túbulo-intersticial crônica não especificada
5160,N12,Nefrite túbulo-intersticial não especificada se aguda ou crônica
5161,N130,Hidronefrose com obstrução da junção uretero-pélvica
5162,N131,Hidronefrose com estreitamento de ureter não classificada em outra parte
5163,N132,Hidronefrose com obstrução por calculose renal e ureteral
5164,N133,Outras hidronefroses e as não especificadas
5165,N134,Hidroureter
5166,N135,Torção e estreitamento do ureter sem hidronefrose
5167,N136,Pionefrose
5168,N137,Uropatia associada a refluxo vésico-ureteral
5169,N138,Outras uropatias obstrutivas e por refluxo
5170,N139,Uropatia obstrutiva e por refluxo não especificada
5171,N140,Nefropatia induzida por analgésico
5172,N141,"Nefropatia induzida por outras drogas, medicamentos e substâncias biológicas"
5173,N142,"Nefropatia induzida por drogas, medicamentos e substâncias biológicas não especificadas"
5174,N143,Nefropatia induzida por metais pesados
5175,N144,Nefropatia tóxica não classificada em outra parte
5176,N150,Nefropatia dos Bálcãs
5177,N151,Abscesso renal e perinefrético
5178,N158,Outras doenças renais túbulo-intersticiais especificadas
5179,N159,Doença renal túbulo-intersticial não especificada
5180,N160,Transtornos renais túbulo-intersticiais em doenças infecciosas e parasitárias classificadas em outra parte
5181,N161,Transtornos renais túbulo-intersticiais em doenças neoplásicas
5182,N162,Transtornos renais túbulo-intersticiais em doenças do sangue e transtornos imunitários
5183,N163,Transtornos renais túbulo-intersticiais em doenças metabólicas
5184,N164,Transtornos renais túbulo-intersticiais em doenças do tecido conjuntivo
5185,N165,Transtornos renais túbulo-intersticiais em rejeição a transplantes
5186,N168,Transtornos renais túbulo-intersticiais em outras doenças classificadas em outra parte
5187,N170,Insuficiência renal aguda com necrose tubular
5188,N171,Insuficiência renal aguda com necrose cortical aguda
5189,N172,Insuficiência renal aguda com necrose medular
5190,N178,Outro tipo de insuficiência renal aguda
5191,N179,Insuficiência renal aguda não especificada
5192,N180,Doença renal em estádio final
5193,N188,Outra insuficiência renal crônica
5194,N189,Insuficiência renal crônica não especificada
5195,N19,Insuficiência renal não especificada
5196,N200,Calculose do rim
5197,N201,Calculose do ureter
5198,N202,Calculose do rim com cálculo do ureter
5199,N209,"Calculose urinária, não especificada"
5200,N210,Calculose na bexiga
5201,N211,Cálculo uretral
5202,N218,Outros cálculos do trato urinário inferior
5203,N219,"Cálculo do trato urinário inferior, porção não especificada"
5204,N220,Cálculo urinário na esquistossomose [bilharziose] [schistosomíase]
5205,N228,Calculose do trato urinário em outras doenças classificadas em outra parte
5206,N23,Cólica nefrética não especificada
5207,N250,Osteodistrofia renal
5208,N251,Diabetes insípido nefrogênico
5209,N258,Outros transtornos resultantes de função renal tubular alterada
5210,N259,Transtornos resultante de função tubular alterada
5211,N26,"Rim contraído, não especificado"
5212,N270,Hipoplasia renal unilateral
5213,N271,Hipoplasia renal bilateral
5214,N279,Hipoplasia renal não especificada
5215,N280,Isquemia e infarto renal
5216,N281,"Cisto do rim, adquirido"
5217,N288,Outros transtornos especificados do rim e do ureter
5218,N289,Transtorno não especificado do rim e do ureter
5219,N290,Sífilis tardia renal
5220,N291,Outros transtornos do rim e do ureter em doenças infecciosas e parasitárias classificadas em outra parte
5221,N298,Outros transtornos do rim e do ureter em outras doenças classificadas em outra parte
5222,N300,Cistite aguda
5223,N301,Cistite intersticial (crônica)
5224,N302,Outras cistites crônicas
5225,N303,Trigonite
5226,N304,Cistite por radiação
5227,N308,Outras cistites
5228,N309,"Cistite, não especificada"
5229,N310,Bexiga neuropática não-inibida não classificada em outra parte
5230,N311,Bexiga neuropática reflexa não classificada em outra parte
5231,N312,Bexiga neuropática flácida não classificada em outra parte
5232,N318,Outra disfunção neuromuscular da bexiga
5233,N319,Disfunção neuromuscular não especificada da bexiga
5234,N320,Obstrução do colo da bexiga
5235,N321,Fístula êntero-vesical
5236,N322,Fístula vesical não classificada em outra parte
5237,N323,Divertículo da bexiga
5238,N324,"Ruptura da bexiga, não-traumática"
5239,N328,Outros transtornos especificados da bexiga
5240,N329,Transtorno não especificado da bexiga
5241,N330,Cistite tuberculosa
5242,N338,Transtornos da bexiga em outras doenças classificadas em outra parte
5243,N340,Abscesso uretral
5244,N341,Uretrites não específicas
5245,N342,Outras uretrites
5246,N343,"Síndrome uretral, não especificada"
5247,N350,Estenose uretral pós-traumática
5248,N351,Estenose uretral pós-infecciosa não classificada em outra parte
5249,N358,Outra estenose (estreitamento) uretral
5250,N359,Estenose (estreitamento) uretral não especificada(o)
5251,N360,Fístula uretral
5252,N361,Divertículo uretral
5253,N362,Carúncula uretral
5254,N363,Prolapso da mucosa uretral
5255,N368,Outros transtornos especificados da uretra
5256,N369,Transtorno não especificado da uretra
5257,N370,Uretrite em doenças classificadas em outra parte
5258,N378,Outros transtornos da uretra em doenças classificadas em outra parte
5259,N390,Infecção do trato urinário de localização não especificada
5260,N391,Proteinúria persistente não especificada
5261,N392,Proteinúria ortostática não especificada
5262,N393,"Incontinência de tensão (""stress"")"
5263,N394,Outras incontinências urinárias especificadas
5264,N398,Outros transtornos especificados do aparelho urinário
5265,N399,Transtornos não especificados do aparelho urinário
5266,N40,Hiperplasia da próstata
5267,N410,Prostatite aguda
5268,N411,Prostatite crônica
5269,N412,Abscesso da próstata
5270,N413,Prostatocistite
5271,N418,Outras doenças inflamatórias da próstata
5272,N419,Doença inflamatória não especificada da próstata
5273,N420,Cálculo da próstata
5274,N421,Congestão e hemorragia da próstata
5275,N422,Atrofia da próstata
5276,N428,Outras afecções especificadas da próstata
5277,N429,Afecção não especificada da próstata
5278,N430,Hidrocele encistada
5279,N431,Hidrocele infectada
5280,N432,Outra hidrocele
5281,N433,Hidrocele não especificada
5282,N434,Espermatocele
5283,N44,Torção do testículo
5284,N450,"Orquite, epididimite e epidídimo-orquite, com menção de abscesso"
5285,N459,"Orquite, epididimite e epidídimo-orquite, sem menção de abscesso"
5286,N46,Infertilidade masculina
5287,N47,"Hipertrofia do prepúcio, fimose e parafimose"
5288,N480,Leucoplasia do pênis
5289,N481,Balanopostite
5290,N482,Outros transtornos inflamatórios do pênis
5291,N483,Priapismo
5292,N484,Impotência de origem orgânica
5293,N485,Úlcera do pênis
5294,N486,Induratio penis plastica
5295,N488,Outros transtornos especificados do pênis
5296,N489,Transtorno não especificado do pênis
5297,N490,Transtornos inflamatórios da vesícula seminal
5298,N491,"Transtornos inflamatórios do cordão espermático, túnica vaginal e vasos deferentes"
5299,N492,Transtorno inflamatório do escroto
5300,N498,Transtornos inflamatórios de outros órgãos genitais masculinos especificados
5301,N499,"Transtorno inflamatório de órgão genital masculino, não especificado"
5302,N500,Atrofia do testículo
5303,N501,Transtornos vasculares dos órgãos genitais masculinos
5304,N508,Outros transtornos especificados dos órgãos genitais masculinos
5305,N509,Transtorno não especificado dos órgãos genitais masculinos
5306,N510,Transtornos da próstata em doenças classificadas em outra parte
5307,N511,Transtornos do testículo e do epidídimo em doenças classificadas em outra parte
5308,N512,Balanite em doenças classificadas em outra parte
5309,N518,Outros transtornos dos órgãos genitais masculinos em doenças classificadas em outra parte
5310,N600,Cisto solitário da mama
5311,N601,Mastopatia cística difusa
5312,N602,Fibroadenose da mama
5313,N603,Fibrosclerose da mama
5314,N604,Ectasia de dutos mamários
5315,N608,Outras displasias mamárias benignas
5316,N609,Displasia mamária benigna não especificada
5317,N61,Transtornos inflamatórios da mama
5318,N62,Hipertrofia da mama
5319,N63,Nódulo mamário não especificado
5320,N640,Fissura e fístula do mamilo
5321,N641,Necrose gordurosa da mama
5322,N642,Atrofia da mama
5323,N643,Galactorréia não-associada ao parto
5324,N644,Mastodinia
5325,N645,Outros sintomas e sinais da mama
5326,N648,Outros transtornos especificados da mama
5327,N649,Transtorno da mama não especificado
5328,N700,Salpingite e ooforite agudas
5329,N701,Salpingite e ooforite crônicas
5330,N709,Salpingite e ooforite não especificadas
5331,N710,Doença inflamatória aguda do útero
5332,N711,Doença inflamatória crônica do útero
5333,N719,Doença inflamatória não especificada do útero
5334,N72,Doença inflamatória do colo do útero
5335,N730,Parametrite e celulite pélvicas agudas
5336,N731,Parametrite e celulite pélvicas crônicas
5337,N732,Parametrite e celulite pélvicas não especificadas
5338,N733,Pelviperitonite aguda feminina
5339,N734,Pelviperitonite crônica feminina
5340,N735,Pelviperitonite não especificada feminina
5341,N736,Aderências pelviperitonais femininas
5342,N738,Outras doenças inflamatórias especificadas da pelve feminina
5343,N739,Doença inflamatória não especificada da pelve feminina
5344,N740,Tuberculose do colo do útero
5345,N741,Tuberculose da pelve feminina
5346,N742,Sífilis pélvica feminina
5347,N743,Infecção gonocócica pélvica feminina
5348,N744,Infecção pélvica feminina por clamídia
5349,N748,Inflamação pélvica feminina em outras doenças classificadas em outra parte
5350,N750,Cisto da glândula de Bartholin
5351,N751,Abscesso da glândula de Bartholin
5352,N758,Outras doenças da glândula de Bartholin
5353,N759,Doença não especificada da glândula de Bartholin
5354,N760,Vaginite aguda
5355,N761,Vaginite subaguda e crônica
5356,N762,Vulvite aguda
5357,N763,Vulvite subaguda e crônica
5358,N764,Abscesso vulvar
5359,N765,Ulceração vaginal
5360,N766,Ulceração vulvar
5361,N768,Outras inflamações especificadas da vagina e da vulva
5362,N770,Ulceração da vulva em doenças infecciosas e parasitárias classificadas em outra parte
5363,N771,"Vaginite, vulvite e vulvovaginite em doenças infecciosas e parasitárias classificadas em outra parte"
5364,N778,Ulceração e inflamação vulvovaginais em outras doenças classificadas em outra parte
5365,N800,Endometriose do útero
5366,N801,Endometriose do ovário
5367,N802,Endometriose da trompa de Falópio
5368,N803,Endometriose do peritônio pélvico
5369,N804,Endometriose do septo retovaginal e da vagina
5370,N805,Endometriose do intestino
5371,N806,Endometriose em cicatriz cutânea
5372,N808,Outra endometriose
5373,N809,Endometriose não especificada
5374,N810,Uretrocele feminina
5375,N811,Cistocele
5376,N812,Prolapso uterovaginal incompleto
5377,N813,Prolapso uterovaginal completo
5378,N814,Prolapso uterovaginal não especificado
5379,N815,Enterocele vaginal
5380,N816,Retocele
5381,N818,Outro prolapso genital feminino
5382,N819,Prolapso genital feminino não especificado
5383,N820,Fístula vesicovaginal
5384,N821,Outras fístulas do trato geniturinário feminino
5385,N822,Fístula vagina-intestino delgado
5386,N823,Fístula vagina-cólon
5387,N824,Outras fístulas genito-intestinais femininas
5388,N825,Fístula genitocutânea feminina
5389,N828,Outras fístulas do trato genital feminino
5390,N829,Fístulas não especificadas do trato genital feminino
5391,N830,Cisto folicular do ovário
5392,N831,Cisto do corpo lúteo
5393,N832,Outros cistos ovarianos e os não especificados
5394,N833,Atrofia adquirida do ovário e da trompa de Falópio
5395,N834,Prolapso e hérnia do ovário e da trompa de Falópio
5396,N835,"Torção do ovário, do pedículo ovariano e da trompa de Falópio"
5397,N836,Hematossalpinge
5398,N837,Hematoma do ligamento largo
5399,N838,"Outros transtornos não-inflamatórios do ovário, da trompa de Falópio e do ligamento largo"
