type,value,description
cid,C473,Neoplasia maligna dos nervos periféricos do tórax
cid,C474,Neoplasia maligna dos nervos periféricos do abdome
cid,C475,Neoplasia maligna dos nervos periféricos da pelve
cid,C476,Neoplasia maligna dos nervos periféricos do tronco
cid,C478,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo com lesão invasiva
cid,C479,"Neoplasia maligna dos nervos periféricos e sistema nervoso autônomo, não especificados"
cid,C480,Neoplasia maligna do retroperitônio
cid,C481,Neoplasia maligna de partes especificadas do peritônio
cid,C482,Neoplasia maligna do peritônio
cid,C488,Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio com lesão invasiva
cid,C490,"Neoplasia maligna do tecido conjuntivo e tecidos moles da cabeça, face e pescoço"
cid,C491,"Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros superiores, incluindo ombro"
cid,C492,"Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros inferiores, incluindo quadril"
cid,C493,Neoplasia maligna do tecido conjuntivo e tecidos moles do tórax
cid,C494,Neoplasia maligna do tecido conjuntivo e tecidos moles do abdome
cid,C495,Neoplasia maligna do tecido conjuntivo e tecidos moles da pelve
cid,C496,Neoplasia maligna do tecido conjuntivo e tecidos moles do tronco
cid,C498,Neoplasia maligna do tecido conjuntivo e dos tecidos moles com lesão invasiva
cid,C499,"Neoplasia maligna do tecido conjuntivo e tecidos moles, não especificados"
cid,C500,Neoplasia maligna do mamilo e aréola
cid,C501,Neoplasia maligna da porção central da mama
cid,C502,Neoplasia maligna do quadrante superior interno da mama
cid,C503,Neoplasia maligna do quadrante inferior interno da mama
cid,C504,Neoplasia maligna do quadrante superior externo da mama
cid,C505,Neoplasia maligna do quadrante inferior externo da mama
cid,C506,Neoplasia maligna da porção axilar da mama
cid,C508,Neoplasia maligna da mama com lesão invasiva
cid,C509,"Neoplasia maligna da mama, não especificada"
cid,C510,Neoplasia maligna dos grandes lábios
cid,C511,Neoplasia maligna dos pequenos lábios
cid,C512,Neoplasia maligna do clitóris
cid,C518,Neoplasia maligna da vulva com lesão invasiva
cid,C519,"Neoplasia maligna da vulva, não especificada"
cid,C52,Neoplasia maligna da vagina
cid,C530,Neoplasia maligna do endocérvix
cid,C531,Neoplasia maligna do exocérvix
cid,C538,Neoplasia maligna do colo do útero com lesão invasiva
cid,C539,"Neoplasia maligna do colo do útero, não especificado"
cid,C540,Neoplasia maligna do istmo do útero
cid,C541,Neoplasia maligna do endométrio
cid,C542,Neoplasia maligna do miométrio
cid,C543,Neoplasia maligna do fundo do útero
cid,C548,Neoplasia maligna do corpo do útero com lesão invasiva
cid,C549,"Neoplasia maligna do corpo do útero, não especificado"
cid,C55,"Neoplasia maligna do útero, porção não especificada"
cid,C56,Neoplasia maligna do ovário
cid,C570,Neoplasia maligna da trompa de Falópio
cid,C571,Neoplasia maligna do ligamento largo
cid,C572,Neoplasia maligna do ligamento redondo
cid,C573,Neoplasia maligna do paramétrio
cid,C574,Neoplasia maligna dos anexos uterinos
cid,C577,Neoplasia maligna de outras partes especificadas dos órgãos genitais femininos
cid,C578,Neoplasia maligna dos órgãos genitais femininos com lesão invasiva
cid,C579,"Neoplasia maligna de órgão genital feminino, não especificado"
cid,C58,Neoplasia maligna da placenta
cid,C600,Neoplasia maligna do prepúcio
cid,C601,Neoplasia maligna da glande
cid,C602,Neoplasia maligna do corpo do pênis
cid,C608,Neoplasia maligna do pênis com lesão invasiva
cid,C609,"Neoplasia maligna do pênis, não especificado"
cid,C61,Neoplasia maligna da próstata
cid,C620,Neoplasia maligna do testículo criptorquídico
cid,C621,Neoplasia maligna do testículo tópico
cid,C629,"Neoplasia maligna do testículo, sem outras especificações"
cid,C630,Neoplasia maligna do epidídimo
cid,C631,Neoplasia maligna do cordão espermático
cid,C632,Neoplasia maligna do escroto
cid,C637,Neoplasia maligna de outros órgãos genitais masculinos especificados
cid,C638,Neoplasia maligna dos órgãos genitais masculinos com lesão invasiva
cid,C639,"Neoplasia maligna de órgão genital masculino, não especificado"
cid,C64,"Neoplasia maligna do rim, exceto pelve renal"
cid,C65,Neoplasia maligna da pelve renal
cid,C66,Neoplasia maligna dos ureteres
cid,C670,Neoplasia maligna do trígono da bexiga
cid,C671,Neoplasia maligna da cúpula da bexiga
cid,C672,Neoplasia maligna da parede lateral da bexiga
cid,C673,Neoplasia maligna da parede anterior da bexiga
cid,C674,Neoplasia maligna da parede posterior da bexiga
cid,C675,Neoplasia maligna do colo da bexiga
cid,C676,Neoplasia maligna do orifício uretérico
cid,C677,Neoplasia maligna do úraco
cid,C678,Neoplasia maligna da bexiga com lesão invasiva
cid,C679,"Neoplasia maligna da bexiga, sem outra especificações"
cid,C680,Neoplasia maligna da uretra
cid,C681,Neoplasia maligna da glândula parauretral
cid,C688,Neoplasia maligna dos órgãos urinários com lesão invasiva
cid,C689,"Neoplasia maligna de órgão urinário, não especificado"
cid,C690,Neoplasia maligna da conjuntiva
cid,C691,Neoplasia maligna da córnea
cid,C692,Neoplasia maligna da retina
cid,C693,Neoplasia maligna da coróide
cid,C694,Neoplasia maligna do corpo ciliar
cid,C695,Neoplasia maligna da glândula e canal lacrimal
cid,C696,Neoplasia maligna da órbita
cid,C698,Neoplasia maligna do olho e anexos com lesão invasiva
cid,C699,"Neoplasia maligna do olho, não especificado"
cid,C700,Neoplasia maligna das meninges cerebrais
cid,C701,Neoplasia maligna das meninges espinhais
cid,C709,"Neoplasia maligna da meninge, não especificada"
cid,C710,"Neoplasia maligna do cérebro, exceto lobos e ventrículos"
cid,C711,Neoplasia maligna do lobo frontal
cid,C712,Neoplasia maligna do lobo temporal
cid,C713,Neoplasia maligna do lobo parietal
cid,C714,Neoplasia maligna do lobo occipital
cid,C715,Neoplasia maligna do ventrículo cerebral
cid,C716,Neoplasia maligna do cerebelo
cid,C717,Neoplasia maligna do tronco cerebral
cid,C718,Neoplasia maligna do encéfalo com lesão invasiva
cid,C719,"Neoplasia maligna do encéfalo, não especificado"
cid,C720,Neoplasia maligna da medula espinhal
cid,C721,Neoplasia maligna da cauda eqüina
cid,C722,Neoplasia maligna do nervo olfativo
cid,C723,Neoplasia maligna do nervo óptico
cid,C724,Neoplasia maligna do nervo acústico
cid,C725,Neoplasia maligna de outros nervos cranianos e os não especificados
cid,C728,Neoplasia maligna do encéfalo e de outras partes do sistema nervoso central com lesão invasiva
cid,C729,"Neoplasia maligna do sistema nervoso central, não especificado"
cid,C73,Neoplasia maligna da glândula tireóide
cid,C740,Neoplasia maligna do córtex da supra-renal
cid,C741,Neoplasia maligna da medula da supra-renal
cid,C749,"Neoplasia maligna da glândula supra-renal, não especificada"
cid,C750,Neoplasia maligna da glândula paratireóide
cid,C751,Neoplasia maligna da glândula hipófise (pituitária)
cid,C752,Neoplasia maligna do conduto craniofaríngeo
cid,C753,Neoplasia maligna da glândula pineal
cid,C754,Neoplasia maligna do corpo carotídeo
cid,C755,Neoplasia maligna do corpo aórtico e outros paragânglios
cid,C758,"Neoplasia maligna com comprometimento pluriglandular, sem outra especificação"
cid,C759,"Neoplasia maligna de glândula endócrina, não especificada"
cid,C760,"Neoplasia maligna da cabeça, face e pescoço"
cid,C761,Neoplasia maligna do tórax
cid,C762,Neoplasia maligna do abdome
cid,C763,Neoplasia maligna da pelve
cid,C764,Neoplasia maligna do membro superior
cid,C765,Neoplasia maligna do membro inferior
cid,C767,Neoplasia maligna de outras localizações mal definidas
cid,C768,Neoplasia maligna de outras localizações e das mal definidas com lesão invasiva
cid,C770,"Neoplasia maligna secundária e não especificada dos gânglios linfáticos da cabeça, face e pescoço"
cid,C771,Neoplasia maligna secundária e não especificada dos gânglios linfáticos intratorácicos
cid,C772,Neoplasia maligna secundária e não especificada dos gânglios linfáticos intra-abdominais
cid,C773,Neoplasia maligna secundária e não especificada dos gânglios linfáticos axilares e dos membros superiores
cid,C774,Neoplasia maligna secundária e não especificada dos gânglios linfáticos inguinais e dos membros inferiores
cid,C775,Neoplasia maligna secundária e não especificada dos gânglios linfáticos intrapélvicos
cid,C778,Neoplasia maligna secundária e não especificada dos gânglios linfáticos de múltiplas regiões
cid,C779,"Neoplasia maligna secundária e não especificada de gânglio linfático, não especificado"
cid,C780,Neoplasia maligna secundária dos pulmões
cid,C781,Neoplasia maligna secundária do mediastino
cid,C782,Neoplasia maligna secundária da pleura
cid,C783,Neoplasia maligna secundária de outros órgãos respiratórios e não especificados
cid,C784,Neoplasia maligna secundária do intestino delgado
cid,C785,Neoplasia maligna secundária do intestino grosso e do reto
cid,C786,Neoplasia maligna secundária do retroperitônio e do peritônio
cid,C787,Neoplasia maligna secundária do fígado
cid,C788,Neoplasia maligna secundária de outros órgãos digestivos e não especificados
cid,C790,Neoplasia maligna secundária do rim e da pelve renal
cid,C791,"Neoplasia maligna secundária da bexiga, de outro órgão urinário e não especificado"
cid,C792,Neoplasia maligna secundária da pele
cid,C793,Neoplasia maligna secundária do encéfalo e das meninges cerebrais
cid,C794,Neoplasia maligna secundária de outras partes do sistema nervoso e não especificadas
cid,C795,Neoplasia maligna secundária dos ossos e da medula óssea
cid,C796,Neoplasia maligna secundária do ovário
cid,C797,Neoplasia maligna secundária das glândulas supra-renais (adrenais)
cid,C798,Neoplasia maligna secundária de outra localização especificada
cid,C80,"Neoplasia maligna, sem especificação de localização"
cid,C810,"Doença de Hodgkin, predominância linfocítica"
cid,C811,"Doença de Hodgkin, esclerose nodular"
cid,C812,"Doença de Hodgkin, celularidade mista"
cid,C813,"Doença de Hodgkin, depleção linfocítica"
cid,C817,Outra forma da doença de Hodgkin
cid,C819,"Doença de Hodgkin, não especificada"
cid,C820,"Linfoma não-Hodgkin, pequenas células clivadas, folicular"
cid,C821,"Linfoma não-Hodgkin, misto, de pequenas e grandes células clivadas, folicular"
cid,C822,"Linfoma não-Hodgkin, grandes células, folicular"
cid,C827,"Outros tipos de linfoma não-Hodgkin, folicular"
cid,C829,"Linfoma não-Hodgkin, folicular, não especificado"
cid,C830,"Linfoma não-Hodgkin difuso, pequenas células (difuso)"
cid,C831,"Linfoma não-Hodgkin difuso, pequenas células clivadas (difuso)"
cid,C832,"Linfoma não-Hodgkin difuso, misto, de pequenas e grandes células (difuso)"
cid,C833,"Linfoma não-Hodgkin difuso, grandes células (difuso)"
cid,C834,"Linfoma não-Hodgkin difuso, imunoblástico (difuso)"
cid,C835,"Linfoma não-Hodgkin difuso, linfoblástico (difuso)"
cid,C836,"Linfoma não-Hodgkin difuso, indiferenciado (difuso)"
cid,C837,Tumor de Burkitt
cid,C838,Outros tipos de linfoma não-Hodgkin difuso
cid,C839,"Linfoma não-Hodgkin difuso, não especificado"
cid,C840,Micose fungóide
cid,C841,Doença de Sézary
cid,C842,Linfoma da zona T
cid,C843,Linfoma linfoepitelióide
cid,C844,"Linfoma de células T, periférico"
cid,C845,Outros linfomas de células T e os não especificados
cid,C850,Linfossarcoma
cid,C851,"Linfoma de células B, não especificado"
cid,C857,Outros tipos especificados de linfoma não-Hodgkin
cid,C859,Linfoma não-Hodgkin de tipo não especificado
cid,C880,Macroglobulinemia de Waldenström
cid,C881,Doença de cadeia pesada alfa
cid,C882,Doença de cadeia pesada gama
cid,C883,Doença imunoproliferativa do intestino delgado
cid,C887,Outras doenças imunoproliferativas malignas
cid,C889,"Doença imunoproliferativa maligna, não especificada"
cid,C900,Mieloma múltiplo
cid,C901,Leucemia plasmocitária
cid,C902,Plasmocitoma extramedular
cid,C910,Leucemia linfoblástica aguda
cid,C911,Leucemia linfocítica crônica
cid,C912,Leucemia linfocítica subaguda
cid,C913,Leucemia pró-linfocítica
cid,C914,Leucemia de células pilosas
cid,C915,Leucemia de células T do adulto
cid,C917,Outras leucemias linfóides
cid,C919,"Leucemia linfóide, não especificada"
cid,C920,Leucemia mielóide aguda
cid,C921,Leucemia mielóide crônica
cid,C922,Leucemia mielóide subaguda
cid,C923,Sarcoma mielóide
cid,C924,Leucemia pró-mielocítica aguda
cid,C925,Leucemia mielomonocítica aguda
cid,C927,Outras leucemias mielóides
cid,C929,"Leucemia mielóide, não especificada"
cid,C930,Leucemia monocítica aguda
cid,C931,Leucemia monocítica crônica
cid,C932,Leucemia monocítica subaguda
cid,C937,Outras leucemias monocíticas
cid,C939,"Leucemia monocítica, não especificada"
cid,C940,Eritremia e eritroleucemia agudas
cid,C941,Eritremia crônica
cid,C942,Leucemia megacarioblástica aguda
cid,C943,Leucemia de mastócitos
cid,C944,Panmielose aguda
cid,C945,Mielofibrose aguda
cid,C947,Outras leucemias especificadas
cid,C950,Leucemia aguda de tipo celular não especificado
cid,C951,Leucemia crônica de tipo celular não especificado
cid,C952,Leucemia subaguda de tipo celular não especificado
cid,C957,Outras leucemias de tipo celular não especificado
cid,C959,Leucemia não especificada
cid,C960,Doença de Letterer-Siwe
cid,C961,Histiocitose maligna
cid,C962,Tumor maligno de mastócitos
cid,C963,Linfoma histiocítico verdadeiro
cid,C967,"Outras neoplasias malignas especificadas dos tecidos linfático, hematopoético e tecidos correlatos"
cid,C969,"Neoplasia maligna dos tecidos linfático, hematopoético e tecidos correlatos, não especificada"
cid,C97,Neoplasias malignas de localizações múltiplas independentes (primárias)
cid,D000,"Carcinoma in situ dos lábios, cavidade oral e faringe"
cid,D001,Carcinoma in situ do esôfago
cid,D002,Carcinoma in situ do estômago
cid,D010,Carcinoma in situ do cólon
cid,D011,Carcinoma in situ da junção retossigmóide
cid,D012,Carcinoma in situ do reto
cid,D013,Carcinoma in situ do ânus e canal anal
cid,D014,Carcinoma in situ de outras partes do intestino e as não especificadas
cid,D015,"Carcinoma in situ do fígado, vesícula biliar e vias biliares"
cid,D017,Carcinoma in situ de outros órgãos especificados do aparelho digestivo
cid,D019,"Carcinoma in situ de órgãos digestivos, não especificado"
cid,D020,Carcinoma in situ da laringe
cid,D021,Carcinoma in situ da traquéia
cid,D022,Carcinoma in situ dos brônquios e pulmões
cid,D023,Carcinoma in situ de outras partes do aparelho respiratório
cid,D029,"Carcinoma in situ do aparelho respiratório, não especificado"
cid,D030,Melanoma in situ do lábio
cid,D031,"Melanoma in situ da pálpebra, incluindo o canto"
cid,D032,Melanoma in situ da orelha e do conduto auditivo externo
cid,D033,"Melanoma in situ de outras partes, e de partes não especificadas da face"
cid,D034,Melanoma in situ do couro cabeludo e do pescoço
cid,D035,Melanoma in situ do tronco
cid,D036,"Melanoma in situ dos membros superiores, incluindo ombro"
cid,D037,"Melanoma in situ dos membros inferiores, incluindo quadril"
cid,D038,Melanoma in situ de outras localizações
cid,D039,"Melanoma in situ, não especificado"
cid,D040,Carcinoma in situ da pele do lábio
cid,D041,"Carcinoma in situ da pele da pálpebra, incluindo o canto"
cid,D042,Carcinoma in situ da pele da orelha e do conduto auditivo externo
cid,D043,Carcinoma in situ da pele de outras partes e de partes não especificadas da face
cid,D044,Carcinoma in situ da pele do couro cabeludo e do pescoço
cid,D045,Carcinoma in situ da pele do tronco
cid,D046,"Carcinoma in situ da pele dos membros superiores, incluindo ombro"
cid,D047,"Carcinoma in situ da pele dos membros inferiores, incluindo quadril"
cid,D048,Carcinoma in situ da pele de outras localizações
cid,D049,"Carcinoma in situ da pele, não especificada"
cid,D050,Carcinoma lobular in situ
cid,D051,Carcinoma intraductal in situ
cid,D057,Outros carcinomas in situ
cid,D059,"Carcinoma in situ da mama, não especificado"
cid,D060,Carcinoma in situ do endocérvix
cid,D061,Carcinoma in situ do exocérvix
cid,D067,Carcinoma in situ de outras partes do colo do útero
cid,D069,"Carcinoma in situ do colo do útero, não especificado"
cid,D070,Carcinoma in situ do endométrio
cid,D071,Carcinoma in situ da vulva
cid,D072,Carcinoma in situ da vagina
cid,D073,Carcinoma in situ de outros órgãos genitais femininos e os não especificados
cid,D074,Carcinoma in situ do pênis
cid,D075,Carcinoma in situ da próstata
cid,D076,Carcinoma in situ de outros órgãos genitais masculinos e os não especificados
cid,D090,Carcinoma in situ da bexiga
cid,D091,Carcinoma in situ de outros órgãos urinários e os não especificados
cid,D092,Carcinoma in situ do olho
cid,D093,Carcinoma in situ da tireóide e de outras glândulas endócrinas
cid,D097,Carcinoma in situ de outras localizações especificadas
cid,D099,"Carcinoma in situ, não especificado"
cid,D100,Neoplasia benigna dos lábios
cid,D101,Neoplasia benigna da língua
cid,D102,Neoplasia benigna do assoalho da boca
cid,D103,Neoplasia benigna de outras partes da boca e as não especificadas
cid,D104,Neoplasia benigna da amígdala
cid,D105,Neoplasia benigna de outras partes da orofaringe
cid,D106,Neoplasia benigna da nasofaringe
cid,D107,Neoplasia benigna da hipofaringe
cid,D109,"Neoplasia benigna da faringe, não especificada"
cid,D110,Neoplasia benigna da glândula parótida
cid,D117,Neoplasia benigna de outras glândulas salivares maiores
cid,D119,"Neoplasia benigna da glândula salivar maior, não especificada"
cid,D120,Neoplasia benigna do ceco
cid,D121,Neoplasia benigna do apêndice (vermiforme)
cid,D122,Neoplasia benigna do cólon ascendente
cid,D123,Neoplasia benigna do cólon transverso
cid,D124,Neoplasia benigna do cólon descendente
cid,D125,Neoplasia benigna do cólon sigmóide
cid,D126,"Neoplasia benigna do cólon, não especificada"
cid,D127,Neoplasia benigna da junção retossigmóide
cid,D128,Neoplasia benigna do reto
cid,D129,Neoplasia benigna do canal anal e ânus
cid,D130,Neoplasia benigna do esôfago
cid,D131,Neoplasia benigna do estômago
cid,D132,Neoplasia benigna do duodeno
cid,D133,Neoplasia benigna de outras partes e partes não especificadas do intestino delgado
cid,D134,Neoplasia benigna do fígado
cid,D135,Neoplasia benigna das vias biliares extra-hepáticas
cid,D136,Neoplasia benigna do pâncreas
cid,D137,Neoplasia benigna do pâncreas endócrino
cid,D139,Neoplasia benigna de localizações mal definidas do aparelho digestivo
cid,D140,"Neoplasia benigna do ouvido médio, cavidade nasal e seios paranasais"
cid,D141,Neoplasia benigna da laringe
cid,D142,Neoplasia benigna da traquéia
cid,D143,Neoplasia benigna dos brônquios e pulmão
cid,D144,"Neoplasia benigna do aparelho respiratório, não especificado"
cid,D150,Neoplasia benigna do timo
cid,D151,Neoplasia benigna do coração
cid,D152,Neoplasia benigna do mediastino
cid,D157,Neoplasia benigna de outros órgãos intratorácicos especificados
cid,D159,"Neoplasia benigna de órgão intratorácico, não especificado"
cid,D160,Neoplasia benigna da omoplata [escápula] e ossos longos dos membros superiores
cid,D161,Neoplasia benigna dos ossos curtos dos membros superiores
cid,D162,Neoplasia benigna dos ossos longos dos membros inferiores
cid,D163,Neoplasia benigna dos ossos curtos dos membros inferiores
cid,D164,Neoplasia benigna dos ossos do crânio e da face
cid,D165,Neoplasia benigna do osso da mandíbula
cid,D166,Neoplasia benigna da coluna vertebral
cid,D167,"Neoplasia benigna das costelas, do esterno e da clavícula"
cid,D168,"Neoplasia benigna dos ossos pélvicos, sacro e cóccix"
cid,D169,"Neoplasia benigna do osso e cartilagem articular, não especificado"
cid,D170,"Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça, face e pescoço"
cid,D171,Neoplasia lipomatosa benigna da pele e tecido subcutâneo do tronco
cid,D172,Neoplasia lipomatosa benigna da pele e tecido subcutâneo dos membros
cid,D173,Neoplasia lipomatosa benigna da pele e tecido subcutâneo de outras localizações e de localizações não especificadas
cid,D174,Neoplasia lipomatosa benigna de órgãos intratorácicos
cid,D175,Neoplasia lipomatosa benigna de órgãos intra-abdominais
cid,D176,Neoplasia lipomatosa benigna do cordão espermático
cid,D177,Neoplasia lipomatosa benigna de outras localizações
cid,D179,Neoplasia lipomatosa benigna de localização não especificada
cid,D180,Hemangioma de qualquer localização
cid,D181,Linfangioma de qualquer localização
cid,D190,Neoplasia benigna do tecido mesotelial da pleura
cid,D191,Neoplasia benigna do tecido mesotelial do peritônio
cid,D197,Neoplasia benigna do tecido mesotelial de outras localizações
cid,D199,"Neoplasia benigna do tecido mesotelial, não especificado"
cid,D200,Neoplasia benigna do retroperitônio
cid,D201,Neoplasia benigna do peritônio
cid,D210,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles da cabeça, face e pescoço"
cid,D211,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros superiores, incluindo ombro"
cid,D212,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros inferiores, incluindo quadril"
cid,D213,Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tórax
cid,D214,Neoplasia benigna do tecido conjuntivo e outros tecidos moles do abdome
cid,D215,Neoplasia benigna do tecido conjuntivo e outros tecidos moles da pelve
cid,D216,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tronco, não especificado"
cid,D219,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles, sem outra especificação"
cid,D220,Nevo melanocítico do lábio
cid,D221,"Nevo melanocítico da pálpebra, incluindo o canto"
cid,D222,Nevo melanocítico da orelha e do conduto auditivo externo
cid,D223,Nevo melanocítico de outras partes e de partes não especificadas da face
cid,D224,Nevo melanocítico do couro cabeludo e do pescoço
cid,D225,Nevo melanocítico do tronco
cid,D226,"Nevo melanocítico dos membros superiores, incluindo ombro"
cid,D227,"Nevo melanocítico dos membros inferiores, incluindo quadril"
cid,D229,"Nevo melanocítico, não especificado"
cid,D230,Neoplasia benigna da pele dos lábios
cid,D231,"Neoplasia benigna da pele da pálpebra, incluindo o canto"
cid,D232,Neoplasia benigna da pele da orelha e do conduto auditivo externo
cid,D233,Neoplasia benigna da pele de outras partes e de partes não especificadas da face
cid,D234,Neoplasia benigna da pele do couro cabeludo e do pescoço
cid,D235,Neoplasia benigna da pele do tronco
cid,D236,"Neoplasia benigna da pele dos membros superiores, incluindo o ombro"
cid,D237,"Neoplasia benigna da pele dos membros inferiores, incluindo o quadril"
cid,D239,"Neoplasia benigna da pele, não especificada"
cid,D24,Neoplasia benigna da mama
cid,D250,Leiomioma submucoso do útero
cid,D251,Leiomioma intramural do útero
cid,D252,Leiomioma subseroso do útero
cid,D259,"Leiomioma do útero, não especificado"
cid,D260,Neoplasia benigna do colo do útero
cid,D261,Neoplasia benigna do corpo do útero
cid,D267,Neoplasia benigna de outras partes do útero
cid,D269,"Neoplasia benigna do útero, não especificado"
cid,D27,Neoplasia benigna do ovário
cid,D280,Neoplasia benigna da vulva
cid,D281,Neoplasia benigna da vagina
cid,D282,Neoplasia benigna das trompas e ligamentos uterinos
cid,D287,Neoplasia benigna de outros órgãos genitais femininos especificados
cid,D289,"Neoplasia benigna de órgão genital feminino, não especificado"
cid,D290,Neoplasia benigna do pênis
cid,D291,Neoplasia benigna da próstata
cid,D292,Neoplasia benigna dos testículos
cid,D293,Neoplasia benigna do epidídimo
cid,D294,Neoplasia benigna do escroto
cid,D297,Neoplasia benigna de outros órgãos genitais masculinos
cid,D299,"Neoplasia benigna de órgão genital masculino, não especificado"
cid,D300,Neoplasia benigna do rim
cid,D301,Neoplasia benigna da pelve renal
cid,D302,Neoplasia benigna do ureter
cid,D303,Neoplasia benigna da bexiga
cid,D304,Neoplasia benigna da uretra
cid,D307,Neoplasia benigna de outros órgãos urinários
cid,D309,"Neoplasia benigna de órgão urinário, não especificado"
cid,D310,Neoplasia benigna da conjuntiva
cid,D311,Neoplasia benigna da córnea
cid,D312,Neoplasia benigna da retina
cid,D313,Neoplasia benigna da coróide
cid,D314,Neoplasia benigna do corpo ciliar
cid,D315,Neoplasia benigna das glândulas e dos canais lacrimais
cid,D316,"Neoplasia benigna da órbita, não especificada"
cid,D319,"Neoplasia benigna do olho, não especificado"
cid,D320,Neoplasia benigna das meninges cerebrais
cid,D321,Neoplasia benigna das meninges espinhais
cid,D329,"Neoplasia benigna das meninges, não especificada"
cid,D330,"Neoplasia benigna do encéfalo, supratentorial"
cid,D331,"Neoplasia benigna do encéfalo, infratentorial"
cid,D332,"Neoplasia benigna do encéfalo, não especificado"
cid,D333,Neoplasia benigna dos nervos cranianos
cid,D334,Neoplasia benigna da medula espinhal
cid,D337,Neoplasia benigna de outras partes especificadas do sistema nervoso central
cid,D339,"Neoplasia benigna do sistema nervoso central, não especificado"
cid,D34,Neoplasia benigna da glândula tireóide
cid,D350,Neoplasia benigna da glândula supra-renal (adrenal)
cid,D351,Neoplasia benigna da glândula paratireóide
cid,D352,Neoplasia benigna da glândula hipófise (pituitária)
cid,D353,Neoplasia benigna do conduto craniofaríngeo
cid,D354,Neoplasia benigna da glândula pineal
cid,D355,Neoplasia benigna do corpo carotídeo
cid,D356,Neoplasia benigna dos corpos aórticos e outros paragânglios
cid,D357,Neoplasia benigna de outras glândulas endócrinas especificadas
cid,D358,Neoplasia benigna com comprometimento pluriglandular
cid,D359,"Neoplasia benigna de glândula endócrina, não especificada"
cid,D360,Neoplasia benigna dos gânglios linfáticos (linfonodos)
cid,D361,Neoplasia benigna dos nervos periféricos e sistema nervoso autônomo
cid,D367,Neoplasia benigna de outras localizações especificadas
cid,D369,Neoplasia benigna de localização não especificada
cid,D370,"Neoplasia de comportamento incerto ou desconhecido do lábio, cavidade oral e faringe"
cid,D371,Neoplasia de comportamento incerto ou desconhecido do estômago
cid,D372,Neoplasia de comportamento incerto ou desconhecido do intestino delgado
cid,D373,Neoplasia de comportamento incerto ou desconhecido do apêndice
cid,D374,Neoplasia de comportamento incerto ou desconhecido dos cólons
cid,D375,Neoplasia de comportamento incerto ou desconhecido do reto
cid,D376,"Neoplasia de comportamento incerto ou desconhecido do fígado, vesícula biliar e vias biliares"
cid,D377,Neoplasia de comportamento incerto ou desconhecido de outros órgãos digestivos
cid,D379,"Neoplasia de comportamento incerto ou desconhecido de órgão digestivo, não especificado"
cid,D380,Neoplasia de comportamento incerto ou desconhecido da laringe
cid,D381,"Neoplasia de comportamento incerto ou desconhecido da traquéia, brônquios e pulmão"
cid,D382,Neoplasia de comportamento incerto ou desconhecido da pleura
cid,D383,Neoplasia de comportamento incerto ou desconhecido do mediastino
cid,D384,Neoplasia de comportamento incerto ou desconhecido do timo
cid,D385,Neoplasia de comportamento incerto ou desconhecido de outros órgãos respiratórios
cid,D386,"Neoplasia de comportamento incerto ou desconhecido de órgão respiratório, não especificado"
cid,D390,Neoplasia de comportamento incerto ou desconhecido do útero
cid,D391,Neoplasia de comportamento incerto ou desconhecido do ovário
cid,D392,Neoplasia de comportamento incerto ou desconhecido da placenta
cid,D397,Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais femininos
cid,D399,"Neoplasia de comportamento incerto ou desconhecido de órgão genital feminino, não especificado"
cid,D400,Neoplasia de comportamento incerto ou desconhecido da próstata
cid,D401,Neoplasia de comportamento incerto ou desconhecido do testículo
cid,D407,Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais masculinos
cid,D409,"Neoplasia de comportamento incerto ou desconhecido de órgão genital masculino, não especificado"
cid,D410,Neoplasia de comportamento incerto ou desconhecido do rim
cid,D411,Neoplasia de comportamento incerto ou desconhecido da pelve renal
cid,D412,Neoplasia de comportamento incerto ou desconhecido do ureter
cid,D413,Neoplasia de comportamento incerto ou desconhecido da uretra
cid,D414,Neoplasia de comportamento incerto ou desconhecido da bexiga
cid,D417,Neoplasia de comportamento incerto ou desconhecido de outros órgãos urinários
cid,D419,"Neoplasia de comportamento incerto ou desconhecido de órgão urinário, não especificado"
cid,D420,Neoplasia de comportamento incerto ou desconhecido das meninges cerebrais
cid,D421,Neoplasia de comportamento incerto ou desconhecido das meninges espinhais
cid,D429,Neoplasia de comportamento incerto ou desconhecido de meninges não especificadas
cid,D430,"Neoplasia de comportamento incerto ou desconhecido do encéfalo, supratentorial"
cid,D431,"Neoplasia de comportamento incerto ou desconhecido do encéfalo, infratentorial"
cid,D432,"Neoplasia de comportamento incerto ou desconhecido do encéfalo, não especificado"
cid,D433,Neoplasia de comportamento incerto ou desconhecido dos nervos cranianos
cid,D434,Neoplasia de comportamento incerto ou desconhecido da medula espinhal
